dominio,variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica
Sociodemográfico,RacaPaciente,RacaPaciente: *Em Branco,Internação/hospitalização,5944,150,11,5235,548,1.4274550664235477,0.769013858836037,2.649663518083231,0.33628783559030506,p=0.3363: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,RacaPaciente,RacaPaciente: *Em Branco,Confirmação,5944,107,54,3388,2395,1.4007225939044121,1.0056714447904378,1.9509590286548824,0.051132330095439237,p=0.0511: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,RacaPaciente,RacaPaciente: Indigena,Óbito por meningite,5944,12,143,383,5406,1.1844656648834195,0.651276658543084,2.154167346371912,0.5152965752857649,p=0.5153: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,RacaPaciente,RacaPaciente: Indigena,Internação/hospitalização,5944,130,25,5255,534,0.5284110371075167,0.341271744541978,0.818169768234933,0.007316791056271624,p=0.0073: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Sociodemográfico,RacaPaciente,RacaPaciente: Indigena,Confirmação,5944,58,97,3437,2352,0.40917966699561176,0.29430742747772515,0.5688881225918487,7.813599304353473e-08,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Sociodemográfico,RacaPaciente,RacaPaciente: Amarela,Óbito por meningite,5944,2,50,393,5499,0.5596946564885497,0.1356821379726072,2.308764537341526,0.5805511309794054,p=0.5806: não há evidência estatística suficiente ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Sociodemográfico,RacaPaciente,RacaPaciente: Amarela,Internação/hospitalização,5944,52,0,5333,559,11.01481203712384,0.6789910171148847,178.68584584328892,0.013577300998204263,p=0.0136: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Sociodemográfico,RacaPaciente,RacaPaciente: Amarela,Confirmação,5944,37,15,3458,2434,1.7362251783304414,0.9507838863936704,3.1705184669278603,0.08854992802033229,p=0.0885: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Sociodemográfico,Escolaridade,Escolaridade: Não se aplica,Óbito por meningite,5944,119,2328,276,3221,0.5965483216295632,0.4780433220660244,0.7444302296725697,3.0084975595109415e-06,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Sociodemográfico,Escolaridade,Escolaridade: Não se aplica,Internação/hospitalização,5944,2226,221,3159,338,1.0777051561365287,0.901961069628916,1.2876923879221327,0.4167881093226794,p=0.4168: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,Escolaridade,Escolaridade: Não se aplica,Confirmação,5944,1363,1084,2132,1365,0.805029925299253,0.7249483915991117,0.8939576777290072,5.2659650919473905e-05,p=0.0001: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,Escolaridade,Escolaridade: *Ignorado,Óbito por meningite,5944,79,789,316,4760,1.508238276299113,1.165490828019834,1.9517808663999265,0.0024372995158543098,p=0.0024: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Sociodemográfico,Escolaridade,Escolaridade: *Ignorado,Internação/hospitalização,5944,789,79,4596,480,1.0430644148461512,0.8126060707555383,1.3388816705575033,0.8012798066779873,p=0.8013: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,Escolaridade,Escolaridade: *Ignorado,Confirmação,5944,542,326,2953,2123,1.1952760943950105,1.0305708842046208,1.386304390827835,0.018733718328038843,p=0.0187: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,Escolaridade,Escolaridade: 5ª a 8ª série incompleta do EF,Óbito por meningite,5944,36,542,359,5007,0.9263739991160357,0.6502437117365371,1.3197648370122894,0.7256634562688922,p=0.7257: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,Escolaridade,Escolaridade: 5ª a 8ª série incompleta do EF,Internação/hospitalização,5944,530,48,4855,511,1.162161002403021,0.8530848461741668,1.583216724061525,0.3685587716236921,p=0.3686: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,Escolaridade,Escolaridade: 5ª a 8ª série incompleta do EF,Confirmação,5944,365,213,3130,2236,1.2241671541496049,1.0250704711994438,1.461933850796848,0.026160410033831863,p=0.0262: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,Escolaridade,Escolaridade: 1ª a 4ª série incompleta do EF,Óbito por meningite,5944,18,410,377,5139,0.5984473054279614,0.36903177543131616,0.9704833058221142,0.03410878859357941,p=0.0341: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Sociodemográfico,Escolaridade,Escolaridade: 1ª a 4ª série incompleta do EF,Internação/hospitalização,5944,381,47,5004,512,0.8294300729629063,0.604480168517218,1.1380923341501756,0.2631281427908679,p=0.2631: não há evidência estatística suficiente ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,Escolaridade,Escolaridade: 1ª a 4ª série incompleta do EF,Confirmação,5944,248,180,3247,2269,0.962789583547206,0.7888406582282517,1.1750963550344595,0.7213703745732767,p=0.7214: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,Escolaridade,Escolaridade: Ensino médio completo,Óbito por meningite,5944,37,382,358,5167,1.3979569452162977,0.9811330831178787,1.9918639523071553,0.06691799409335945,p=0.0669: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,Escolaridade,Escolaridade: Ensino médio completo,Internação/hospitalização,5944,380,39,5005,520,1.0123210123210122,0.7193073427782812,1.4246953576595431,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,Escolaridade,Escolaridade: Ensino médio completo,Confirmação,5944,248,171,3247,2278,1.0174826245369095,0.8313359958259066,1.2453098343299907,0.8774184850038618,p=0.8774: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
