familia,indicador,escopo,recorte,valor,numerador,denominador,unidade,gerado_em
tempo_quimioprofilaxia,pct_quimio_realizada,ESTADUAL,MATO GROSSO,73.24414715719062,219.0,299,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,p50_quimio_dias,ESTADUAL,MATO GROSSO,1.0,,188,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,p90_quimio_dias,ESTADUAL,MATO GROSSO,4.0,,188,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_elegiveis,REGIONAL,AGUA BOA,30.0,3.0,10,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_com_data,REGIONAL,AGUA BOA,75.0,3.0,4,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_realizada,REGIONAL,AGUA BOA,50.0,5.0,10,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,p50_quimio_dias,REGIONAL,AGUA BOA,1.0,,4,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,p90_quimio_dias,REGIONAL,AGUA BOA,3.4000000000000004,,4,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_elegiveis,REGIONAL,ALTA FLORESTA,63.63636363636363,7.0,11,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_com_data,REGIONAL,ALTA FLORESTA,77.77777777777779,7.0,9,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_realizada,REGIONAL,ALTA FLORESTA,81.81818181818183,9.0,11,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,p50_quimio_dias,REGIONAL,ALTA FLORESTA,1.0,,9,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,p90_quimio_dias,REGIONAL,ALTA FLORESTA,5.000000000000001,,9,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_elegiveis,REGIONAL,BARRA DO GARCAS,21.052631578947366,4.0,19,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_com_data,REGIONAL,BARRA DO GARCAS,50.0,4.0,8,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_realizada,REGIONAL,BARRA DO GARCAS,47.368421052631575,9.0,19,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,p50_quimio_dias,REGIONAL,BARRA DO GARCAS,1.5,,8,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,p90_quimio_dias,REGIONAL,BARRA DO GARCAS,6.3,,8,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_elegiveis,REGIONAL,CACERES,46.666666666666664,7.0,15,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_com_data,REGIONAL,CACERES,87.5,7.0,8,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_realizada,REGIONAL,CACERES,66.66666666666666,10.0,15,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,p50_quimio_dias,REGIONAL,CACERES,0.0,,8,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,p90_quimio_dias,REGIONAL,CACERES,2.499999999999999,,8,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_elegiveis,REGIONAL,COLIDER,0.0,0.0,2,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_com_data,REGIONAL,COLIDER,,0.0,0,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_realizada,REGIONAL,COLIDER,0.0,0.0,2,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,p50_quimio_dias,REGIONAL,COLIDER,,,0,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,p90_quimio_dias,REGIONAL,COLIDER,,,0,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_elegiveis,REGIONAL,CUIABA,63.829787234042556,60.0,94,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_com_data,REGIONAL,CUIABA,88.23529411764706,60.0,68,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_realizada,REGIONAL,CUIABA,78.72340425531915,74.0,94,%,2026-07-29T12:37:49
tempo_quimioprofilaxia,p50_quimio_dias,REGIONAL,CUIABA,1.0,,68,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,p90_quimio_dias,REGIONAL,CUIABA,3.0,,68,dias,2026-07-29T12:37:49
tempo_quimioprofilaxia,pct_quimio_le_2d_entre_elegiveis,REGIONAL,DIAMANTINO,40.0,2.0,5,%,2026-07-29T12:37:49
