ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_municipio,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
2019,510880,NOVA GUARITA,COLIDER,1,1,0,2334495.0,municipal_soma_com_carry,3678.0,3678.0,27.188689505165847,0.0,0.0
2020,510020,AGUA BOA,AGUA BOA,1,1,0,2334495.0,municipal_soma_com_carry,26204.0,26204.0,3.816211265455656,0.0,0.0
2020,510080,APIACAS,ALTA FLORESTA,1,1,0,2334495.0,municipal_soma_com_carry,10283.0,10283.0,9.724788485850432,0.0,0.0
2020,510180,BARRA DO GARCAS,BARRA DO GARCAS,2,2,0,2334495.0,municipal_soma_com_carry,61135.0,61135.0,3.2714484337940624,0.0,0.0
2020,510267,CAMPO VERDE,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,45740.0,45740.0,2.1862702229995628,0.0,0.0
2020,510270,CANARANA,AGUA BOA,1,1,1,2334495.0,municipal_soma_com_carry,21842.0,21842.0,4.578335317278638,4.578335317278638,100.0
2020,510285,CASTANHEIRA,JUINA,1,1,0,2334495.0,municipal_soma_com_carry,8749.0,8749.0,11.429877700308607,0.0,0.0
2020,510340,CUIABA,CUIABA,19,19,2,2334495.0,municipal_soma_com_carry,618124.0,618124.0,3.073816904051615,0.32355967411069625,10.526315789473683
2020,510385,GAUCHA DO NORTE,AGUA BOA,1,1,0,2334495.0,municipal_soma_com_carry,7782.0,7782.0,12.85016705217168,0.0,0.0
2020,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,4,4,1,2334495.0,municipal_soma_com_carry,36130.0,36130.0,11.071132023249378,2.7677830058123445,25.0
2020,510460,ITIQUIRA,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,13552.0,13552.0,7.378984651711924,0.0,0.0
2020,510562,MIRASSOL D OESTE,CACERES,1,1,0,2334495.0,municipal_soma_com_carry,27941.0,27941.0,3.5789699724419317,0.0,0.0
2020,510630,PARANATINGA,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,22861.0,22861.0,4.37426184331394,0.0,0.0
2020,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,1,1,0,2334495.0,municipal_soma_com_carry,35338.0,35338.0,2.8298149301035713,0.0,0.0
2020,510675,PONTES E LACERDA,PONTES E LACERDA,2,2,0,2334495.0,municipal_soma_com_carry,45774.0,45774.0,4.369292611526194,0.0,0.0
2020,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,3,3,0,2334495.0,municipal_soma_com_carry,63092.0,63092.0,4.754961009319723,0.0,0.0
2020,510710,SAO JOSE DOS QUATRO MARCOS,CACERES,1,1,0,2334495.0,municipal_soma_com_carry,18846.0,18846.0,5.306165764618487,0.0,0.0
2020,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,1,1,0,2334495.0,municipal_soma_com_carry,21011.0,21011.0,4.7594117367093425,0.0,0.0
2020,510760,RONDONOPOLIS,RONDONOPOLIS,6,6,0,2334495.0,municipal_soma_com_carry,236042.0,236042.0,2.541920505672719,0.0,0.0
2020,510780,SANTO ANTONIO DO LEVERGER,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,16999.0,16999.0,5.882698982293076,0.0,0.0
2020,510787,SAPEZAL,TANGARA DA SERRA,1,1,0,2334495.0,municipal_soma_com_carry,26688.0,26688.0,3.7470023980815346,0.0,0.0
2020,510792,SORRISO,SINOP,3,3,1,2334495.0,municipal_soma_com_carry,92769.0,92769.0,3.2338388901464925,1.0779462967154976,33.33333333333333
2020,510800,TAPURAH,SINOP,2,2,2,2334495.0,municipal_soma_com_carry,14046.0,14046.0,14.238929232521716,14.238929232521716,100.0
2020,510840,VARZEA GRANDE,CUIABA,4,4,1,2334495.0,municipal_soma_com_carry,287526.0,287526.0,1.3911785368975327,0.34779463422438317,25.0
